series,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label
series_0,32,48.028673835125446,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,33,48.028673835125446,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,34,45.16129032258064,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,35,50.89605734767025,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,36,51.61290322580645,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,37,53.04659498207885,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,38,53.04659498207885,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,39,52.32974910394266,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,41,51.971326164874554,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,42,52.32974910394266,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,43,53.76344086021505,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,44,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,45,53.40501792114696,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,46,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,47,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,48,50.179211469534046,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,49,49.82078853046595,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,50,51.971326164874554,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,51,52.32974910394266,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,52,53.40501792114696,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,53,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,54,54.83870967741935,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,55,54.83870967741935,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,56,54.83870967741935,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,57,54.48028673835126,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,58,54.83870967741935,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,59,54.83870967741935,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,60,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,61,53.76344086021505,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,62,53.04659498207885,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
series_0,63,54.121863799283155,177,24,43,Revenue Gain vs Revenue Loss from DBCFT Adoption,Scatter plot showing relationship between trade balance and revenue change from adopting DBCFT,Trade Balance,Revenue Change
