series,x_value,y_value,y_value_unit,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label
series_0,77.73019271948608,5.363984674329502,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,92.93361884368309,9.578544061302683,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,92.50535331905782,11.11111111111111,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,81.5845824411135,12.260536398467432,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,68.95074946466809,31.800766283524908,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,68.3083511777302,34.099616858237546,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,59.95717344753747,35.63218390804598,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,59.95717344753747,40.61302681992337,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,59.314775160599574,42.911877394636015,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,71.5203426124197,43.67816091954023,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,84.1541755888651,44.827586206896555,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,72.37687366167023,45.97701149425287,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,73.23340471092077,45.97701149425287,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,72.1627408993576,47.12643678160919,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,69.16488222698072,47.89272030651341,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,70.66381156316916,47.12643678160919,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,60.81370449678801,47.12643678160919,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,74.94646680942184,45.97701149425287,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,66.80942184154176,48.65900383141762,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
series_0,59.314775160599574,50.95785440613027,,145,179,213,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita,,
