series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_0,USA,2,0.515,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,0,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,9,10.91,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,USA,8,10.26,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,9,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,8,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,18,10.955,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,16,16.035,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,18,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,16,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,27,16.13,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,24,15.76,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,27,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,24,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,36,31.375,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,32,32.260000000000005,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,FRA,36,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,32,101.91,176,20,39,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,40,25.27,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
