series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_0,USA,9,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,4,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,12,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,USA,10,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,12,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,10,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,24,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,20,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,24,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,20,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,36,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,30,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,36,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,30,20.0,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,48,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,40,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,FRA,48,30.975,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,40,31.88,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,50,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ITA,59,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,FRA,50,25.19,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ITA,59,24.92,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ITA,60,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ITA,60,20.93,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,DEU,71,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ITA,70,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,DEU,71,21.07,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ITA,70,20.88,175,22,41,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,CAN,83,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,DEU,80,20.0,55,116,179,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
