series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_0,USA,2,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,3,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,9,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,USA,8,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,9,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,USA,8,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,18,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,MEX,16,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,18,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,MEX,16,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,27,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,JPN,24,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,27,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,JPN,24,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,36,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,GBR,32,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,FRA,36,31.02,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,GBR,32,31.99,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,FRA,40,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ITA,45,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,FRA,40,25.11,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ITA,45,20.95,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,DEU,53,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ITA,48,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,DEU,53,21.04,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ITA,48,20.86,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,CAN,62,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,DEU,56,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,CAN,62,23.1,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,DEU,56,30.86,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,AUS,71,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,CAN,64,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,AUS,71,20.05,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,CAN,64,20.59,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,AUS,72,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,AUS,72,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ESP,80,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ESP,80,30.975,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,ESP,88,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,KOR,89,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,ESP,88,40.05,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,KOR,89,35.97,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,KOR,96,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,NLD,98,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,KOR,96,31.045,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,NLD,98,21.085,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,BEL,106,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,NLD,104,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,BEL,106,20.994999999999997,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,NLD,104,20.744999999999997,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,BEL,112,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,CHE,115,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,BEL,112,31.27,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,CHE,115,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,CHE,120,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,SWE,124,20.0,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,CHE,120,24.3,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,SWE,124,29.05,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,AUT,133,20.68,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,SWE,128,20.5,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,AUT,133,27.01,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,SWE,128,20.0,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,AUT,136,20.814999999999998,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,POL,142,20.86,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,AUT,136,32.125,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,POL,142,32.195,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,NOR,150,20.994999999999997,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_0,POL,144,20.95,77,133,189,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
series_1,NOR,150,20.115000000000002,175,23,43,Revenue-neutral Rate vs Current CIT Rate by Country,Comparison of revenue-neutral tax rates versus current Corporate Income Tax rates,Countries,Percent,percent
