series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description
series_1,,0,6.0,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,9,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,12,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,15,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,18,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,21,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,24,4.17,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,27,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,27,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,30,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,30,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,33,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,33,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,36,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,36,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,39,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,39,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,42,5.14,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_2,,42,5.14,163,94,115,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,56,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,57,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,60,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,63,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,66,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_1,,69,4.32,144,177,212,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
series_0,,74,4.21,216,139,149,Tax Revenue by Development Level and GDP Per Capita,Two-panel chart showing CIT vs DBCFT revenue for developing/advanced economies and relationship with GDP per capita
